city,region,type_of_unite,in_compound,owner_type,area,rooms,bathrooms,floor_number,elevator,finish_status,year_of_building,views,has_reviews,payment_method,price_per_meter,price,area_category,floor_category,building_category
Greater Cairo,كمبوند ريدج - الاولي,Apartment,True,Real Estate Marketer,162,3,2,1,False,Semi-Finished,2026,Main Street,True,Cash or Installment,35000,5670000,X-Large,low,new
Greater Cairo,Al Maqsed Park - Al Maqsed Residence,Apartment,True,Real Estate Marketer,167,3,2,2,False,Extra Super Luxury,2025,Garden,True,Cash or Installment,19431,3245000,X-Large,low,new
Greater Cairo,كمبوند ايكون بارك - الفداء,Apartment,True,Real Estate Marketer,203,3,3,0,False,Luxury,2024,Side Street,True,Cash,40561,8233888,X-Large,ground,new
Greater Cairo,كمبوند ريدج - الاولي,Apartment,True,Real Estate Marketer,172,3,3,2,False,Semi-Finished,2027,Main Street,True,Cash or Installment,35000,6020000,X-Large,low,new
Greater Cairo,كمبوند ريدج - الاولي,Apartment,True,Real Estate Marketer,160,3,3,1,False,Semi-Finished,2027,Main Street,True,Cash or Installment,35000,5600000,Large,low,new
Greater Cairo,كمبوند تاج سيتى - مدينة مصر,Apartment,True,Real Estate Marketer,130,2,2,0,False,Unfinished,2027,Garden,True,Cash or Installment,51923,6750000,Large,ground,new
Greater Cairo,كمبوند امورادا - افاق,Apartment,True,Real Estate Marketer,168,3,2,0,False,Extra Super Luxury,2026,Garden,True,Cash or Installment,47619,8000000,X-Large,ground,new
Greater Cairo,سنتر فيل - كمبوند هايد بارك,Apartment,True,Real Estate Marketer,192,3,4,0,False,Unfinished,2025,Garden,True,Installment,54688,10500000,X-Large,ground,new
Greater Cairo,المجاوره الأولى,Apartment,False,Real Estate Marketer,160,3,1,2,True,Semi-Finished,2025,Garden,True,Cash or Installment,18750,3000000,Large,low,new
Hurghada,منتجع فيراندا - انرشيا,Apartment,False,Real Estate Marketer,112,2,1,1,False,Extra Super Luxury,2027,Swimming Pool,False,Cash or Installment,75968,8508388,Medium,low,new
Greater Cairo,كمبوند ايكون بارك - الفداء,Apartment,True,Real Estate Marketer,165,3,3,4,False,Luxury,2024,Side Street,True,Cash,31220,5151242,X-Large,mid,new
Greater Cairo,كمبوند الباتيو أورو - لافيستا,Apartment,True,Real Estate Marketer,166,3,3,2,False,Semi-Finished,2025,Main Street,True,Cash,46386,7700000,X-Large,low,new
Greater Cairo,تاج سلطان - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,164,3,2,2,False,Extra Super Luxury,2024,Main Street,True,Cash,54878,9000000,X-Large,low,new
Greater Cairo,شارع الجابري,Apartment,False,Real Estate Marketer,161,3,2,1,True,Extra Super Luxury,2019,Side Street,True,Cash,35093,5650000,X-Large,low,new
Hurghada,Hurghada Resorts,Apartment,True,Property Owner,45,1,1,1,False,Extra Super Luxury,2025,Swimming Pool,False,Cash or Installment,25000,1125000,Small,low,new
Greater Cairo,جاليريا ريزيدنس - ارابيا,Apartment,True,Real Estate Marketer,200,3,3,1,False,Extra Super Luxury,2025,Garden,True,Cash,52500,10500000,X-Large,low,new
Hurghada,كورنيش الغردقة,Apartment,False,Real Estate Marketer,170,3,2,0,False,Super Luxury,2028,Garden,False,Cash or Installment,35053,5959000,X-Large,ground,new
Greater Cairo,كلوب سايد - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,176,3,3,5,False,Semi-Finished,2026,Garden,True,Cash or Installment,34091,6000000,X-Large,mid,new
Hurghada,منتجع كالا - كابيتال لينك,Studio,False,Real Estate Marketer,58,1,1,1,False,Super Luxury,2028,Lake,False,Cash or Installment,85939,4984440,Small,low,new
Greater Cairo,Elan - Sarai Compound,Studio,True,Real Estate Marketer,80,3,2,0,False,Unfinished,2025,Garden,True,Installment,46250,3700000,Small,ground,new
Hurghada,وسط البلد - الغردقة,Studio,False,Real Estate Marketer,33,1,1,4,False,Super Luxury,2025,Swimming Pool,False,Cash or Installment,46460,1533168,Small,mid,new
Greater Cairo,Elan - Sarai Compound,Studio,True,Real Estate Marketer,63,1,1,1,False,Luxury,2025,Garden,True,Cash,39683,2500000,Small,low,new
Hurghada,Hurghada Resorts,Apartment,False,Real Estate Marketer,110,3,1,1,False,Super Luxury,2028,Swimming Pool,False,Cash or Installment,33500,3685000,Medium,low,new
Greater Cairo,ليك فيو ريزيدنس - الحاذق,Apartment,False,Real Estate Marketer,143,2,2,4,False,Semi-Finished,2026,Garden,True,Cash or Installment,64923,9284000,Large,mid,new
Hurghada,الاحياء,Studio,False,Real Estate Marketer,60,1,1,2,False,Super Luxury,2025,Sea,False,Cash or Installment,31185,1871100,Small,low,new
Greater Cairo,الياسمين 7,Apartment,False,Real Estate Marketer,200,3,2,2,True,Extra Super Luxury,2022,Garden,True,Cash,37500,7500000,X-Large,low,new
Greater Cairo,كمبوند بادية - بالم هيلز,Apartment,True,Real Estate Marketer,62,1,1,3,False,Unfinished,2027,Garden,True,Installment,100000,6200000,Small,low,new
Greater Cairo,Second District,Apartment,True,Real Estate Marketer,120,2,2,1,False,Semi-Finished,2026,Main Street,True,Installment,17767,2132000,Medium,low,new
Greater Cairo,الحي 300,Apartment,False,Real Estate Marketer,135,2,2,2,False,Extra Super Luxury,2025,Side Street,True,Cash,19630,2650000,Large,low,new
Greater Cairo,كمبوند اللوتس - برستيج جروب,Apartment,True,Real Estate Marketer,150,3,2,2,True,Semi-Finished,2025,Garden,True,Cash,18333,2750000,Large,low,new
Greater Cairo,العجوزة,Apartment,False,Real Estate Marketer,140,2,2,15,True,Luxury,1998,Side Street,True,Cash,24286,3400000,Large,top_floor,old
Greater Cairo,شارع عبد المنعم مدبولي,Apartment,False,Developer,101,3,2,0,False,Super Luxury,2025,Main Street,True,Cash,55446,5600000,Medium,ground,new
Greater Cairo,الحي الترفيهي,Apartment,False,Developer,145,3,3,0,False,Semi-Finished,2025,Main Street,True,Cash or Installment,21379,3100000,Large,ground,new
Greater Cairo,الحي الأول,Apartment,False,Developer,167,3,2,2,True,Semi-Finished,2024,Main Street,False,Cash or Installment,21257,3550000,X-Large,low,new
Greater Cairo,القرنفل 7,Apartment,False,Real Estate Marketer,220,3,3,2,True,Semi-Finished,2023,Garden,True,Cash,27273,6000000,X-Large,low,new
Greater Cairo,Second District,Apartment,False,Real Estate Marketer,120,2,3,1,False,Semi-Finished,2026,Main Street,True,Installment,18798,2255700,Medium,low,new
Greater Cairo,الحي الثامن,Apartment,False,Developer,201,3,3,3,True,Semi-Finished,2025,Main Street,True,Cash or Installment,16700,3356700,X-Large,low,new
Greater Cairo,Second District,Apartment,True,Real Estate Marketer,142,2,2,0,False,Semi-Finished,2026,Main Street,True,Installment,18598,2640920,Large,ground,new
Greater Cairo,الحي الترفيهي,Apartment,False,Developer,142,3,3,2,False,Semi-Finished,2024,Main Street,True,Cash or Installment,20500,2911000,Large,low,new
Greater Cairo,Second District,Apartment,True,Real Estate Marketer,142,2,2,0,False,Semi-Finished,2026,Main Street,True,Installment,19628,2787180,Large,ground,new
Greater Cairo,الحي الثامن,Apartment,False,Developer,225,3,3,1,True,Semi-Finished,2025,Main Street,True,Cash or Installment,16500,3712500,X-Large,low,new
Greater Cairo,الحي الثامن,Apartment,False,Developer,160,3,3,1,False,Semi-Finished,2025,Main Street,True,Cash or Installment,17500,2800000,Large,low,new
Greater Cairo,الحي الأول,Apartment,False,Developer,190,3,2,0,True,Semi-Finished,2024,Garden,False,Cash or Installment,22053,4190000,X-Large,ground,new
Qalyubia,Downtown,Apartment,True,Real Estate Marketer,132,3,2,6,False,Semi-Finished,2027,Nile View,True,Cash or Installment,30200,3986400,Large,mid,new
